Price,Density
25.7407,0.0811869635383824
51.4814,0.11963734501800007
77.2221,0.08960593504581016
102.9628,0.06893084138751154
128.7035,0.05621752057862888
154.4442,0.06943859426466673
180.1849,0.05723745093367783
205.9256,0.041447472930049085
231.6663,0.038613905787542965
257.407,0.04631175582271394
283.1477,0.021771620753138488
308.8884,0.02593619554315864
334.6291,0.020640168259350576
360.3698,0.017923228810507518
386.1105,0.023209124750619634
411.8512,0.012779693834756366
437.5919,0.013937658503021425
463.3326,0.015607715979978272
489.0733,0.011062633049193707
514.814,0.009725288562221992
540.5547,0.006994882009920352
566.2954,0.007369698522755379
592.0361,0.010861346213836259
617.7768,0.005192413902459895
643.5175,0.006407570686409447
669.2582,0.0029759603866046304
694.9989,0.004508131842969383
720.7396,0.005911358054240551
746.4803,0.011800692228737286
772.221,0.007298886639364498
797.9617000000001,0.0036438197922105883
823.7024,0.0038703503996748647
849.4431,0.0020702580706835803
875.1838,0.0026323529588205153
900.9245,0.003242164408812846
926.6652,0.0016123768360175347
952.4059,0.005932006393891061
978.1466,0.006409670535803094
1003.8873,0.00795084051086613
1029.628,0.005811464235917736
1055.3687,0.0021280979712626487
1081.1094,0.0012869759157376653
1106.8501,0.003459212839684819
1132.5908,0.0007974375047489867
1158.3315,0.0026153112054346853
1184.0722,0.001563438570194243
1209.8129000000001,0.0014106816016873495
1235.5536,0.0008936307089338075
1261.2943,0.0007705677689559713
1287.035,0.0014024769095232162
1312.7757,0.00042995208593754847
1338.5164,0.0006841441433812146
1364.2571,0.0014787584865154932
1389.9978,0.0009230600266569261
1415.7385,0.0041196182294245655
1441.4792,0.0031238065987558386
1467.2199,0.0006154505592823607
1492.9606,0.0007257537770836604
1518.7013,0.0005363358683373132
1544.442,0.0015917428394049964
1570.1827,0.000476852818908942
1595.9234000000001,0.0004227367197124224
1621.6641,0.0007145223873652479
1647.4048,0.0006607571816977146
1673.1455,0.0011447178932427295
1698.8862,0.000812801168200144
1724.6269,0.00042530486123905256
1750.3676,0.0033488817745432895
1776.1083,0.00039087254816662224
1801.849,0.00047773814437763215
1827.5897,0.00015418945976443667
1853.3304,0.00012582107965708594
1879.0711000000001,0.00021209835798540423
1904.8118,0.00039887488912766165
1930.5525,0.0002706949904913231
1956.2932,0.0002351472749723272
1982.0339000000001,7.660620126245378e-05
2007.7746,0.00013025741992679488
2033.5153,0.0002800067723654922
2059.256,0.0006765998561138826
2084.9967,0.0004935566581433913
2110.7374,0.0002801502103276884
2136.4781,0.00010463858065244463
2162.2188,0.0002180442823924547
2187.9595,0.00018914381961185515
2213.7002,9.369379675481334e-05
2239.4409,6.110516229107227e-05
2265.1816,0.00012781292787539147
2290.9223,5.04119003527754e-05
2316.663,0.00011616294151479208
2342.4037,0.00016005011970247513
2368.1444,3.282555091445864e-05
2393.8851,7.184494233843397e-05
2419.6258000000003,0.00015500875712691465
2445.3665,0.00011218292635245132
2471.1072,9.423726750041383e-05
2496.8479,0.00036373930943613424
2522.5886,0.00020297316941813467
2548.3293,0.00032031599724410435
2574.07,0.001042808287059974
